YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DataValueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,Geolocation,LocationID,TopicID,QuestionID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2015,2019,MS,Mississippi,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,Number,Number,5444.0,5444.0,,,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-89.53803082499968 32.745510099000455),28,CAN,CAN07,,NMBR,RACE,BLK,,,,
2015,2019,MI,Michigan,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Crude Rate,182.0,182.0,,,178.9,185.1,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-84.71439026999968 44.6613195430005),26,CAN,CAN08,,CRDRATE,RACE,BLK,,,,
2016,2020,MI,Michigan,US Cancer DVT,Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",,Number,Number,1398.0,1398.0,,,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-84.71439026999968 44.6613195430005),26,CAN,CAN01,,NMBR,RACE,WHT,,,,
2015,2019,WV,West Virginia,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,196.9,196.9,,,181.8,213.0,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-80.71264013499967 38.66551020200046),54,CAN,CAN08,,AGEADJRATE,RACE,BLK,,,,
2015,2019,AZ,Arizona,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Crude Rate,170.8,170.8,,,169.5,172.2,Overall,Overall,,,,,POINT (-111.76381127699972 34.865970280000454),4,CAN,CAN08,,CRDRATE,OVERALL,OVR,,,,
2015,2019,ND,North Dakota,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,458.8,458.8,,,452.2,465.5,Overall,Overall,,,,,POINT (-100.11842104899966 47.47531977900047),38,CAN,CAN07,,AGEADJRATE,OVERALL,OVR,,,,
2016,2020,KY,Kentucky,US Cancer DVT,Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",,Number,Number,813.0,813.0,,,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-84.77497104799966 37.645970271000465),21,CAN,CAN01,,NMBR,RACE,WHT,,,,
2015,2019,TX,Texas,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,176.6,176.6,,,175.5,177.7,Sex,Male,,,,,POINT (-99.42677020599967 31.827240407000488),48,CAN,CAN08,,AGEADJRATE,SEX,SEXM,,,,
2016,2020,ME,Maine,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,449.9,449.9,,,443.7,456.2,Sex,Female,,,,,POINT (-68.98503133599962 45.254228894000505),23,CAN,CAN07,,AGEADJRATE,SEX,SEXF,,,,
2015,2019,CO,Colorado,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,418.8,418.8,,,415.3,422.2,Sex,Male,,,,,POINT (-106.13361092099967 38.843840757000464),8,CAN,CAN07,,AGEADJRATE,SEX,SEXM,,,,
2015,2019,VA,Virginia,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,436.6,436.6,,,432.1,441.1,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-78.45789046299967 37.54268067400045),51,CAN,CAN07,,AGEADJRATE,RACE,BLK,,,,
